"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 343;2024-07-01;Opening balance SEK;;;;561,47;-561,47
;A 612;2025-02-01;korrgingirn av valuta fel ;;;;1 950,00;-2 511,47
;;;"""Utgående saldo:""";;0,00;0,00;2 511,47;-2 511,47
;;;;;;;;
2093 Erhållna aktieägartillskott;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 621;2025-06-30;Omföring av 65% av lån från Ahmed Gheyath Al-Sharif till villkorat aktieägartillskott enligt avtal 2025-07-20.;;;;1,00;-1,00
;;;"""Utgående saldo:""";;0,00;0,00;1,00;-1,00
;;;;;;;;
2441 Future World Tech;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 426;2024-12-10;Sent money to FUTURE WORLD TECH;;;124 440,54;;124 440,54
;A 423;2024-12-12;Sent money to FUTURE WORLD TECH;;;276 750,00;;401 190,54
;A 422;2024-12-17;Sent money to FUTURE WORLD TECH;;;134 600,68;;535 791,22
;A 419;2025-01-14;Sent money to FUTURE WORLD TECH;;;110 859,71;;646 650,93
;A 601;2025-02-01;Settlement of supplier invoice via related-party financing (korrigerad med verifikation A764 av Mohammad Sami Alsharef, 2025-12-29);;;;278 158,00;368 492,93
;A 764;2025-02-01;Korrigering av ver.nr. A601, Settlement of supplier invoice via related-party financing (av Mohammad Sami Alsharef, 2025-12-29);;;278 158,00;;646 650,93
;A 600;2025-02-28;First China container - ûverfring frÑn Futureworld till inkp;;;;368 492,00;278 158,93
;A 772;2025-11-27;FOREX 861 Arlanda - Future World Tech loan;;;6 500,00;;284 658,93
;A 773;2025-11-27;FOREX 861 Arlanda - Future World Tech loan;;;10 000,00;;294 658,93
;A 774;2025-11-27;FOREX 861 Arlanda - Future World Tech loan;;;10 000,00;;304 658,93
;A 964;2025-11-27;FOREX Arlanda - Lneavans till Future World Tech;;;10 000,00;;314 658,93
;A 814;2025-12-04;Future World Tech Kina 31472.19 USD kurs 0.10645;;;295 641,24;;610 300,17
;A 961;2025-12-31;Varuinkop Future World Tech Q4 38658 USD kurs 10.755;;;;415 815,45;194 484,72
;;;"""Utgående saldo:""";;0,00;1 256 950,17;1 062 465,45;194 484,72
;;;;;;;;
2448 Ej reskontraförda leverantörsskulder;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 91;2024-09-26;Invoice (USD 40008) FIK20240000000042 vx enl. kurs 10,2296;;;;409 265,84;-409 265,84
;A 92;2024-10-16;Invoice #906 (USD 30700 enl. vxelkurs 10,4144);;;;319 722,08;-728 987,92
;A 464;2025-06-26;Repayment of documented loan from related party (Alsharif);;;728 987,00;;-0,92
;;;"""Utgående saldo:""";;0,00;728 987,00;728 987,92;-0,92
;;;;;;;;
2611 Utgående moms på försäljning inom Sverige, 25%;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 438;2025-01-07;Received money from STRIPE;10 (25%);0,00;;209,81;-209,81
;A 437;2025-01-10;Received money from STRIPE;10 (25%);0,00;;390,38;-600,19
;A 435;2025-01-24;Received money from STRIPE;10 (25%);0,00;;127,54;-727,73
;A 433;2025-02-07;Received money from STRIPE;10 (25%);0,00;;783,17;-1 510,90
;A 582;2025-02-14;ûverfring - Programvara med moms;10 (25%);0,00;140,00;;-1 370,90
;A 454;2025-03-28;Crona Kassa Sales Period 1 Oct-Mar 28;10 (25%);0,00;;22 108,00;-23 478,90
;A 604;2025-03-31;Momsredovisning januari-mars 2025;10 (25%);0,00;23 478,90;;0,00
;A 430;2025-04-04;Received money from STRIPE;10 (25%);0,00;;343,32;-343,32
;A 506;2025-05-26;El i butiken - med moms;10 (25%);0,00;163,20;;-180,12
;A 455;2025-05-28;Shopify POS Sales Period Mar 29-May 28;10 (25%);0,00;;34 765,06;-34 945,18
;A 473;2025-06-25;Nñtet - El/internet med moms;10 (25%);0,00;124,80;;-34 820,38
;A 456;2025-06-30;Easy Cashier Sales Period May 29-Jun 30;10 (25%);0,00;;9 415,00;-44 235,38
;A 605;2025-06-30;Momsredovisning april-juni 2025;10 (25%);0,00;44 235,38;;0,00
;A 751;2025-09-30;Q3 2025 card sales via Worldline;10 (25%);0,00;;31 156,14;-31 156,14
;A 752;2025-09-30;Q3 2025 cash sales;10 (25%);0,00;;5 254,23;-36 410,37
;A 763;2025-09-30;Momsredovisning juli-september 2025;10 (25%);0,00;36 410,37;;0,00
;A 948;2025-10-03;Shopify EUR 103.75;10 (25%);0,00;;238,63;-238,63
;A 949;2025-10-10;Shopify EUR 86.12;10 (25%);0,00;;198,08;-436,71
;A 950;2025-10-17;Shopify EUR 418.35;10 (25%);0,00;;962,21;-1 398,92
;A 951;2025-10-24;Shopify EUR 154.12;10 (25%);0,00;;354,48;-1 753,40
;A 944;2025-10-31;Kortforsaljning Oktober Worldline;10 (25%);0,00;;15 137,04;-16 890,44
;A 952;2025-11-07;Shopify EUR 371.75;10 (25%);0,00;;855,03;-17 745,47
;A 953;2025-11-14;Shopify EUR 86.37;10 (25%);0,00;;198,66;-17 944,13
;A 954;2025-11-21;Shopify EUR 1398.29;10 (25%);0,00;;3 216,06;-21 160,19
;A 955;2025-11-28;Shopify EUR 2199.39;10 (25%);0,00;;5 058,60;-26 218,79
;A 1011;2025-11-28;Shopify Sale for Wise payout;10 (25%);0,00;;7 986,99;-34 205,78
;A 945;2025-11-30;Kortforsaljning November Worldline;10 (25%);0,00;;30 689,46;-64 895,24
;A 956;2025-12-05;Shopify EUR 573.75;10 (25%);0,00;;1 319,63;-66 214,87
;A 957;2025-12-12;Shopify EUR 58.31;10 (25%);0,00;;134,11;-66 348,98
;A 958;2025-12-29;Shopify EUR 86.77;10 (25%);0,00;;199,57;-66 548,55
;A 946;2025-12-31;Kortforsaljning December Worldline;10 (25%);0,00;;17 431,33;-83 979,88
;A 947;2025-12-31;Kontantforsaljning Q4;10 (25%);0,00;;8 617,55;-92 597,43
;;;"""Utgående saldo:""";;0,00;104 552,65;197 150,08;-92 597,43
;;;;;;;;
2615 Utgående moms import av varor 25%;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 91;2024-09-26;Invoice (USD 40008) FIK20240000000042 vx enl. kurs 10,2296;60 (25%);0,00;102 316,25;;102 316,25
;A 602;2024-09-30;Momsredovisning juli-september 2024;60 (25%);0,00;;102 316,25;0,00
;A 92;2024-10-16;Invoice #906 (USD 30700 enl. vxelkurs 10,4144);60 (25%);0,00;79 930,50;;79 930,50
;A 603;2024-12-31;Momsredovisning oktober-december 2024;60 (25%);0,00;;79 930,50;0,00
;A 600;2025-02-28;First China container - ûverfring frÑn Futureworld till inkp;60 (25%);0,00;92 123,00;;92 123,00
;A 604;2025-03-31;Momsredovisning januari-mars 2025;60 (25%);0,00;;92 123,00;0,00
;;;"""Utgående saldo:""";;0,00;274 369,75;274 369,75;0,00
;;;;;;;;
2641 Debiterad ingående moms;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 3;2024-07-10;LAGERBOLAGET F.102576;48;0,00;1 485,00;;1 485,00
;A 602;2024-09-30;Momsredovisning juli-september 2024;48;0,00;;1 485,00;0,00
;A 20;2024-10-01;CARGO CENTER KONTANTF, 202406312 FLYterminalavgift;48;0,00;656,18;;656,18
;A 24;2024-10-08;Rusta;48;0,00;236,66;;892,84
;A 26;2024-10-08;Biltema;48;0,00;73,00;;965,84
;A 115;2024-10-08;JULA;48;0,00;;73,00;892,84
;A 23;2024-10-09;Dollarstore;48;0,00;35,14;;927,98
;A 23;2024-10-09;Dollarstore;48;0,00;12,00;;939,98
;A 25;2024-10-09;Biltema;48;0,00;386,88;;1 326,86
;A 15;2024-10-10;TEMU PO-191-055293649567125515;48;0,00;406,07;;1 732,93
;A 28;2024-10-10;biltema;48;0,00;240,20;;1 973,13
;A 35;2024-10-10;Clas Ohlson;48;0,00;20,00;;1 993,13
;A 34;2024-10-11;biltema;48;0,00;160,40;;2 153,53
;A 27;2024-10-12;Biltema;48;0,00;99,80;;2 253,33
;A 30;2024-10-15;Clas Ohlson;48;0,00;47,92;;2 301,25
;A 37;2024-10-16;Aimo Park Sweden;48;0,00;62,00;;2 363,25
;A 16;2024-10-18;TEMU PO-191-06903722854952515;48;0,00;243,14;;2 606,39
;A 33;2024-10-25;Clas Ohlson;48;0,00;299,80;;2 906,19
;A 19;2024-10-28;CARGO CENTER KONTANTF. 202407034 FLYterminalavgift;48;0,00;767,48;;3 673,67
;A 22;2024-10-28;Clas Ohlson;48;0,00;49,80;;3 723,47
;A 29;2024-10-28;Biltema;48;0,00;79,80;;3 803,27
;A 31;2024-10-28;Clas Ohlson;48;0,00;7,98;;3 811,25
;A 14;2024-10-29;TEMU PO-191-15837295250472515;48;0,00;105,30;;3 916,55
;A 21;2024-10-30;FASTIGHETS AB AKVARIUM F. 5002146107;48;0,00;3 750,00;;7 666,55
;A 17;2024-10-31;AIMO PARK - HYRESAVI F.41986401814;48;0,00;372,58;;8 039,13
;A 53;2024-11-02;Biltema;48;0,00;154,10;;8 193,23
;A 52;2024-11-06;Clas Ohlson;48;0,00;3,98;;8 197,21
;A 49;2024-11-07;Biltema;48;0,00;32,94;;8 230,15
;A 50;2024-11-07;RUSTA;48;0,00;9,98;;8 240,13
;A 54;2024-11-07;Clas Ohlson;48;0,00;35,98;;8 276,11
;A 57;2024-11-07;Clas Ohlson;48;0,00;129,88;;8 405,99
;A 59;2024-11-07;Clas Ohlson;48;0,00;43,80;;8 449,79
;A 56;2024-11-11;Clas Ohlson;48;0,00;79,80;;8 529,59
;A 58;2024-11-12;Clas Ohlson;48;0,00;;109,82;8 419,77
;A 61;2024-11-15;Aimo Park Sweden;48;0,00;62,00;;8 481,77
;A 75;2024-11-16;Aimo Park Sweden;48;0,00;62,00;;8 543,77
;A 174;2024-11-20;Elmontering till sträckning;48;0,00;901,40;;9 445,17
;A 60;2024-11-30;Assemblin EL AB (korrigerad med verifikation A243 av Mohammad Sami Alsharef, 2025-06-27) (korrigerad med verifikation A2;48;0,00;901,41;;10 346,58
;A 76;2024-12-16;Aimo Park Sweden;48;0,00;62,00;;10 408,58
;A 79;2024-12-19;Aimo Park Sweden;48;0,00;62,00;;10 470,58
;A 89;2024-12-30;AIMO PARK - HYRESAVI F.41986486320;48;0,00;371,08;;10 841,66
;A 90;2024-12-30;Crona kassasystem;48;0,00;44,00;;10 885,66
;A 341;2024-12-30;Money out to IBAN - SE7680000890116948003766 - 1088488505 - Hyra med moms;48;0,00;5 141,50;;16 027,16
;A 603;2024-12-31;Momsredovisning oktober-december 2024;48;0,00;;16 027,16;0,00
;A 176;2025-01-13;Crona Software AB;48;0,00;12,20;;12,20
;A 177;2025-01-13;Fortnox Finans AB;48;0,00;19,20;;31,40
;A 178;2025-01-14;Fortnox Finans AB;48;0,00;19,20;;50,60
;A 232;2025-01-28;Viva Wallet Card Purchase - CHILIMOBIL.SE;48;0,00;125,00;;175,60
;A 235;2025-01-28;Money out to IBAN - SE7680000890116948003766 - 1088488604 - Hyra med moms;48;0,00;5 141,50;;5 317,10
;A 236;2025-01-28;Money out to IBAN - SE7680000890116948003766 - 1088975006 - Hyra med moms;48;0,00;474,00;;5 791,10
;A 228;2025-01-30;Viva Wallet Card Purchase - Temu.com;48;0,00;350,00;;6 141,10
;A 225;2025-01-31;Viva Wallet Card Purchase - Temu.com;48;0,00;57,00;;6 198,10
;A 213;2025-02-04;Viva Wallet Card Purchase - Freightseeker AB;48;0,00;17,00;;6 215,10
;A 214;2025-02-04;Viva Wallet Card Purchase - Freightseeker AB;48;0,00;20,00;;6 235,10
;A 210;2025-02-05;Viva Wallet Card Purchase - Freightseeker AB;48;0,00;18,00;;6 253,10
;A 208;2025-02-06;Viva Wallet Card Refund - CLAS OHLSON;48;0,00;;40,00;6 213,10
;A 209;2025-02-06;Viva Wallet Card Purchase - CLAS OHLSON;48;0,00;124,00;;6 337,10
;A 204;2025-02-08;Viva Wallet Card Purchase - Freightseeker AB;48;0,00;26,00;;6 363,10
;A 194;2025-02-12;Viva Wallet Card Purchase - Freightseeker AB;48;0,00;17,00;;6 380,10
;A 195;2025-02-12;Viva Wallet Card Purchase - Freightseeker AB;48;0,00;31,00;;6 411,10
;A 584;2025-02-14;Lokalhyra - med moms;48;0,00;4 152,00;;10 563,10
;A 192;2025-02-15;Viva Wallet Card Purchase - St1 Gillbergaplan;48;0,00;128,00;;10 691,10
;A 190;2025-02-16;Viva Wallet Card Purchase - BILTEMA ESKILSTUNA;48;0,00;178,00;;10 869,10
;A 185;2025-02-18;Viva Wallet Card Purchase - CLAS OHLSON;48;0,00;14,00;;10 883,10
;A 186;2025-02-18;Viva Wallet Card Purchase - SHOPIFY* 330742565;48;0,00;94,00;;10 977,10
;A 577;2025-02-28;Bankgiro - Avgift med moms;48;0,00;500,00;;11 477,10
;A 578;2025-02-28;Bankgiro - Avgift med moms;48;0,00;124,80;;11 601,90
;A 576;2025-03-10;Bankgiro - Avgift med moms;48;0,00;160,40;;11 762,30
;A 568;2025-03-24;Bankgiro - Avgift med moms;48;0,00;8,20;;11 770,50
;A 569;2025-03-24;Bankgiro - Avgift med moms;48;0,00;31,20;;11 801,70
;A 565;2025-03-27;Bankgiro - Avgift med moms;48;0,00;124,80;;11 926,50
;A 604;2025-03-31;Momsredovisning januari-mars 2025;48;0,00;;11 926,50;0,00
;A 551;2025-04-08;Lokalhyra - med moms;48;0,00;4 113,20;;4 113,20
;A 546;2025-04-14;Bankgiro - Avgift med moms;48;0,00;49,60;;4 162,80
;A 547;2025-04-14;Bankgiro - Avgift med moms;48;0,00;100,00;;4 262,80
;A 544;2025-04-15;Bankgiro - Avgift med moms;48;0,00;19,60;;4 282,40
;A 535;2025-04-28;Bankgiro - Avgift med moms;48;0,00;124,80;;4 407,20
;A 531;2025-04-29;Lokalhyra - med moms;48;0,00;379,20;;4 786,40
;A 532;2025-04-29;Lokalhyra - med moms;48;0,00;4 008,40;;8 794,80
;A 524;2025-05-05;Lokalhyra - med moms;48;0,00;3 996,60;;12 791,40
;A 525;2025-05-05;Lokalhyra - med moms;48;0,00;379,20;;13 170,60
;A 526;2025-05-05;Bankgiro - Avgift med moms;48;0,00;25,00;;13 195,60
;A 522;2025-05-07;Bankgiro - Avgift med moms;48;0,00;39,60;;13 235,20
;A 514;2025-05-16;Bankgiro - Avgift med moms;48;0,00;49,60;;13 284,80
;A 497;2025-06-02;Bankgiro - Avgift med moms;48;0,00;136,80;;13 421,60
;A 493;2025-06-03;Bankgiro - Avgift med moms;48;0,00;49,60;;13 471,20
;A 480;2025-06-18;Lokalhyra - med moms;48;0,00;3 996,60;;17 467,80
;A 482;2025-06-18;Bankgiro - Avgift med moms;48;0,00;50,00;;17 517,80
;A 467;2025-06-30;Bankgiro - Avgift med moms;48;0,00;49,60;;17 567,40
;A 605;2025-06-30;Momsredovisning april-juni 2025;48;0,00;;17 567,40;0,00
;A 626;2025-07-01;Google G Suite software;48;0,00;20,28;;20,28
;A 627;2025-07-01;Fortnox software subscription;48;0,00;29,80;;50,08
;A 630;2025-07-03;Lagar Hyra office rent;48;0,00;391,20;;441,28
;A 631;2025-07-03;Visma software;48;0,00;374,40;;815,68
;A 632;2025-07-03;Hyra Butik shop rent;48;0,00;4 110,00;;4 925,68
;A 633;2025-07-03;Lagar Hyra office rent duplicate;48;0,00;391,20;;5 316,88
;A 636;2025-07-06;Sormland traffic business travel;48;0,00;4,60;;5 321,48
;A 640;2025-07-07;Aviation fee - flight booking;48;0,00;7,00;;5 328,48
;A 643;2025-07-07;Easy Cashier POS system;48;0,00;687,00;;6 015,48
;A 663;2025-07-31;Anthropic AI software;48;0,00;225,15;;6 240,63
;A 665;2025-08-01;Hyra Butik shop rent;48;0,00;3 996,60;;10 237,23
;A 748;2025-08-01;Google G Suite software;48;0,00;14,61;;10 251,84
;A 668;2025-08-02;Fortnox software subscription;48;0,00;29,80;;10 281,64
;A 671;2025-08-06;Rent correction August;48;0,00;379,20;;10 660,84
;A 674;2025-08-08;Tele2 telecom service;48;0,00;22,57;;10 683,41
;A 744;2025-08-10;Resecentrum travel booking;48;0,00;227,20;;10 910,61
;A 680;2025-08-16;Clas Ohlson business supplies;48;0,00;15,98;;10 926,59
;A 682;2025-08-16;IN & FINN AB business supplies;48;0,00;48,20;;10 974,79
;A 686;2025-08-26;Hi3G telecom service;48;0,00;243,00;;11 217,79
;A 749;2025-09-01;Google G Suite software;48;0,00;14,18;;11 231,97
;A 706;2025-09-02;Rent correction September;48;0,00;379,20;;11 611,17
;A 710;2025-09-03;Fortnox software subscription;48;0,00;29,80;;11 640,97
;A 721;2025-09-05;OpenAI AI software;48;0,00;24,18;;11 665,15
;A 747;2025-09-05;Aviation fee;48;0,00;7,80;;11 672,95
;A 723;2025-09-06;Malardalstrafik business transport;48;0,00;73,40;;11 746,35
;A 724;2025-09-08;Hyra Butik shop rent;48;0,00;3 996,60;;15 742,95
;A 733;2025-09-22;Hi3G telecom service;48;0,00;322,20;;16 065,15
;A 736;2025-09-26;Rent correction September;48;0,00;403,20;;16 468,35
;A 737;2025-09-26;Additional rent September;48;0,00;4 031,80;;20 500,15
;A 743;2025-09-30;St1 Gillbergaplan fuel;48;0,00;196,15;;20 696,30
;A 763;2025-09-30;Momsredovisning juli-september 2025;48;0,00;;20 696,30;0,00
;A 775;2025-10-02;Hallon SEK 100.00 SEK;48;0,00;20,00;;20,00
;A 776;2025-10-02;Hallon USD 9.40 USD kurs 9.35988;48;0,00;17,60;;37,60
;A 1009;2025-10-05;Tubekick - Underhllning/Fretag;48;0,00;26,21;;63,81
;A 765;2025-10-06;St1 Gillbergaplan - Company fuel;48;0,00;181,29;;245,10
;A 766;2025-10-07;TEMU.COM - Company purchase;48;0,00;223,46;;468,56
;A 848;2025-10-08;Bankgiro betalning 2027001;48;0,00;100,00;;568,56
;A 767;2025-10-09;AMAZONMKTPLC - Company purchase;48;0,00;258,77;;827,33
;A 1007;2025-10-11;Apple.com iCloud - Fretagstjanst;48;0,00;49,80;;877,13
;A 982;2025-10-12;MALARDALSTRAFIKEN - Arbetsresa;48;0,00;73,40;;950,53
;A 991;2025-10-13;Shopify Platform - E-handel;48;0,00;80,92;;1 031,45
;A 853;2025-10-14;Frakt PostNord 50207042;48;0,00;84,80;;1 116,25
;A 981;2025-10-14;MALARDALSTRAFIKEN - Arbetsresa;48;0,00;73,40;;1 189,65
;A 769;2025-10-16;TEMU.COM refund;48;0,00;;25,32;1 164,33
;A 770;2025-10-16;TEMU.COM refund;48;0,00;;4,93;1 159,40
;A 1006;2025-10-16;Apple.com iCloud - Fretagstjanst;48;0,00;3,60;;1 163,00
;A 855;2025-10-17;Svea Ekonomi kortterminal;48;0,00;49,60;;1 212,60
;A 974;2025-10-23;Fortnox Bokforingsprogram;48;0,00;29,80;;1 242,40
;A 788;2025-10-24;One.com SEK 11.25 SEK;48;0,00;2,25;;1 244,65
;A 979;2025-10-26;SJ AB Tag - Arbetsresa;48;0,00;19,20;;1 263,85
;A 980;2025-10-26;SJ AB Tag - Arbetsresa;48;0,00;19,20;;1 283,05
;A 863;2025-10-28;Hyra oktober butik/lager 4392007;48;0,00;3 996,60;;5 279,65
;A 864;2025-10-28;Hyra lagar 4392007;48;0,00;379,20;;5 658,85
;A 975;2025-11-01;Fortnox Bokforingsprogram;48;0,00;29,80;;5 688,65
;A 795;2025-11-02;Hallon EUR 11.78 EUR kurs 10.9513;48;0,00;25,80;;5 714,45
;A 993;2025-11-03;VIMLA Telefonabonnemang - Fretag;48;0,00;4,26;;5 718,71
;A 994;2025-11-03;VIMLA Telefonabonnemang - Fretag;48;0,00;20,90;;5 739,61
;A 995;2025-11-03;VIMLA Telefonabonnemang - Fretag;48;0,00;12,77;;5 752,38
;A 996;2025-11-03;VIMLA Telefonabonnemang - Fretag;48;0,00;12,77;;5 765,15
;A 1001;2025-11-10;St1 Gillbergaplan - Fretagsbrnsle;48;0,00;189,28;;5 954,43
;A 992;2025-11-12;Shopify Platform - E-handel;48;0,00;100,12;;6 054,55
;A 799;2025-11-14;Shipit.se frakt EUR 91.08 EUR kurs 10.9795;48;0,00;200,00;;6 254,55
;A 976;2025-11-14;Fortnox Bokforingsprogram;48;0,00;4,80;;6 259,35
;A 1010;2025-11-15;TG JBC Orebro - Arbetsresa;48;0,00;411,00;;6 670,35
;A 1003;2025-11-16;Apple.com iCloud - Fretagstjanst;48;0,00;3,40;;6 673,75
;A 882;2025-11-17;Svea Ekonomi kortterminal;48;0,00;49,60;;6 723,35
;A 887;2025-11-20;Svea Ekonomi kortterminal;48;0,00;49,60;;6 772,95
;A 802;2025-11-23;St1 drivmedel EUR 37.82 EUR kurs 10.999;48;0,00;83,18;;6 856,13
;A 771;2025-11-24;APPLE.COM/BILL - iCloud company;48;0,00;49,80;;6 905,93
;A 891;2025-11-24;Frakt PostNord 52494309;48;0,00;183,74;;7 089,67
;A 892;2025-11-24;Frakt PostNord 52494309;48;0,00;387,17;;7 476,84
;A 894;2025-11-25;Frakt DB Schenker 9423047;48;0,00;431,60;;7 908,44
;A 1002;2025-11-25;AIMO Parkering - Fretag;48;0,00;70,99;;7 979,43
;A 805;2025-11-27;Forex EUR 2.91 EUR kurs 10.9894;48;0,00;6,40;;7 985,83
;A 806;2025-11-27;Arlanda Walk Through EUR 32.00 EUR kurs 10.9989;48;0,00;70,40;;8 056,23
;A 807;2025-11-27;Jureskog mat EUR 52.65 EUR kurs 10.9975;48;0,00;62,04;;8 118,27
;A 808;2025-11-27;Take Away Mart EUR 4.46 EUR kurs 10.9952;48;0,00;5,25;;8 123,52
;A 983;2025-11-27;MALARDALSTRAFIKEN - Arbetsresa;48;0,00;146,80;;8 270,32
;A 1008;2025-12-02;Partners on Booking BV - Resekostnader Arlanda;48;0,00;284,87;;8 555,19
;A 997;2025-12-03;VIMLA Telefonabonnemang - Fretag;48;0,00;12,00;;8 567,19
;A 998;2025-12-03;VIMLA Telefonabonnemang - Fretag;48;0,00;12,00;;8 579,19
;A 999;2025-12-03;VIMLA Telefonabonnemang - Fretag;48;0,00;12,00;;8 591,19
;A 1000;2025-12-03;VIMLA Telefonabonnemang - Fretag;48;0,00;4,00;;8 595,19
;A 820;2025-12-11;Malardalstrafik USD 79.49 USD kurs 9.23423;48;0,00;41,55;;8 636,74
;A 1004;2025-12-11;Apple.com iCloud - Fretagstjanst;48;0,00;49,80;;8 686,54
;A 822;2025-12-12;Circle K drivmedel USD 67.13 USD kurs 9.28897;48;0,00;124,71;;8 811,25
;A 823;2025-12-12;Fadushka mat USD 2.16 USD kurs 9.27977;48;0,00;2,14;;8 813,39
;A 977;2025-12-12;Fortnox Bokforingsprogram;48;0,00;29,80;;8 843,19
;A 917;2025-12-15;Frakt 50516822;48;0,00;583,00;;9 426,19
;A 918;2025-12-15;Frakt DB Schenker 9423047;48;0,00;25,40;;9 451,59
;A 919;2025-12-15;Frakt DB Schenker 9423047;48;0,00;47,40;;9 498,99
;A 920;2025-12-15;Frakt DB Schenker 9423047;48;0,00;197,60;;9 696,59
;A 921;2025-12-15;Frakt DB Schenker 9423047;48;0,00;622,60;;10 319,19
;A 922;2025-12-15;Frakt DB Schenker 9423047;48;0,00;29,00;;10 348,19
;A 923;2025-12-15;Frakt PostNord 52494309;48;0,00;77,80;;10 425,99
;A 924;2025-12-15;Fretag mobil Telia 47460035;48;0,00;113,80;;10 539,79
;A 925;2025-12-15;Plusgiro betalning 47704044;48;0,00;49,60;;10 589,39
;A 1005;2025-12-16;Apple.com iCloud - Fretagstjanst;48;0,00;3,60;;10 592,99
;A 927;2025-12-17;Frakt DB Schenker 9423047;48;0,00;23,80;;10 616,79
;A 928;2025-12-17;Frakt DB Schenker 9423047;48;0,00;15,36;;10 632,15
;A 829;2025-12-19;One.com USD 13.75 USD kurs 9.31722;48;0,00;25,63;;10 657,78
;A 931;2025-12-22;Svea Ekonomi kortterminal;48;0,00;49,60;;10 707,38
;A 838;2025-12-29;St1 drivmedel USD 96.07 USD kurs 9.17915;48;0,00;176,36;;10 883,74
;A 933;2025-12-29;Frakt DB Schenker 9423047;48;0,00;49,88;;10 933,62
;A 934;2025-12-29;Frakt DB Schenker 9423047;48;0,00;21,00;;10 954,62
;;;"""Utgående saldo:""";;0,00;78 910,05;67 955,43;10 954,62
;;;;;;;;
2645 Beräknad ingående moms på förvärv från utlandet;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 91;2024-09-26;Invoice (USD 40008) FIK20240000000042 vx enl. kurs 10,2296;48;0,00;;102 316,25;-102 316,25
;A 602;2024-09-30;Momsredovisning juli-september 2024;48;0,00;102 316,25;;0,00
;A 92;2024-10-16;Invoice #906 (USD 30700 enl. vxelkurs 10,4144);48;0,00;;79 930,50;-79 930,50
;A 603;2024-12-31;Momsredovisning oktober-december 2024;48;0,00;79 930,50;;0,00
;A 600;2025-02-28;First China container - ûverfring frÑn Futureworld till inkp;48;0,00;;92 123,00;-92 123,00
;A 604;2025-03-31;Momsredovisning januari-mars 2025;48;0,00;92 123,00;;0,00
;;;"""Utgående saldo:""";;0,00;274 369,75;274 369,75;0,00
;;;;;;;;
2650 Redovisningskonto för moms;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 602;2024-09-30;Momsredovisning juli-september 2024;;0,00;1 485,00;;1 485,00
;A 603;2024-12-31;Momsredovisning oktober-december 2024;;0,00;16 027,00;;17 512,00
;A 604;2025-03-31;Momsredovisning januari-mars 2025;;0,00;;11 551,00;5 961,00
;A 605;2025-06-30;Momsredovisning april-juni 2025;;0,00;;26 668,00;-20 707,00
;A 760;2025-06-30;fel dupple trascthion man betala moms en gång  (korrigerad med verifikation A762 av Mohammad Sami Alsharef, 2025-10-27);;0,00;;26 668,00;-47 375,00
;A 762;2025-06-30;Korrigering av ver.nr. A760, fel dupple trascthion man betala moms en gång  (av Mohammad Sami Alsharef, 2025-10-27);;0,00;26 668,00;;-20 707,00
;A 642;2025-07-07;VAT payment to Skatteverket - Q2 balance;;0,00;20 707,00;;0,00
;A 758;2025-08-18;Betalning moms för period: April-Juni 2025 (korrigerad med verifikation A761 av Mohammad Sami Alsharef, 2025-10-27);;0,00;26 668,00;;26 668,00
;A 761;2025-08-18;Korrigering av ver.nr. A758, Betalning moms för period: April-Juni 2025;;0,00;;26 668,00;0,00
;A 763;2025-09-30;Momsredovisning juli-september 2025;;0,00;;15 714,00;-15 714,00
;A 865;2025-10-28;Moms Q3 betalning Skatteverket;;0,00;15 714,00;;0,00
;A 978;2025-11-17;Skatteverket Betalning;;0,00;400,00;;400,00
;;;"""Utgående saldo:""";;0,00;107 669,00;107 269,00;400,00
;;;;;;;;
2893 Skulder till närstående personer, kortfristig del;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 3;2024-07-10;LAGERBOLAGET F.102576;;;;9 075,00;-9 075,00
;A 1;2024-07-16;utgift/kostnad (vatan caddesi i istanbul TR);;;;983,41;-10 058,41
;A 2;2024-07-20;utgift/kostnad ( AKBANK/PENDIK ISANBUL TR);;;;664,26;-10 722,67
;A 4;2024-08-01;Business Travel: Airfare for M.S. Alsharef, supplier sourcing;;;;1 306,49;-12 029,16
;A 160;2024-08-25;(EDREAMS 348577891 MADRID);;;;1 251,06;-13 280,22
